Facility Type,Facility Name,Ownership,Management/Operator,Latitude,Longitude,Address,Primary Agency,Landowner,Notes
Short-Term Immigration Detention,ICE Sub-Field Office,Private (ABP LLC),Immigration and Customs Enforcement (ICE),32.135660,-110.924800,"6431 S Country Club Rd, Tucson, AZ 85706",ICE,ABP LLC,
Contract Detention Facility (CDF),Central Arizona Florence Correctional Center,Private (CoreCivic),"CoreCivic, Inc.",33.044152,-111.375572,"1155 N Pinal Pkwy Ave, Florence, AZ 85132",CoreCivic under contract with ICE,CoreCivic Western Operations LLC,
Contract Detention Facility (CDF),Eloy Detention Center,Private (CoreCivic),"CoreCivic, Inc.",32.817609,-111.520082,"1705 E Hanna Rd, Eloy, AZ 85131",CoreCivic under contract with ICE,CoreCivic Western Operations LLC,
Service Processing Center (SPC),Florence Service Processing Center (SPC),Federal government (ICE),Immigration and Customs Enforcement (ICE),33.064267,-111.382426,"3250 N Pinal Pkwy Ave, Florence, AZ 85132",ICE,U.S. Immigration & Customs Enforcement,
USMS IGA - U.S. Marshals Service Intergovernmental Service Agreement (IGSA) Facility,"CCA, Florence Correctional Center",Private (CoreCivic),"CoreCivic, Inc.",33.043219,-111.372054,"1100 Bowling Rd, Florence, AZ 85132",CoreCivic under contract with ICE,CoreCivic Western Operations LLC,
Short-Term Immigration Detention,U.S. Border Patrol Tucson Sector Headquarters,Federal government (Davis Monthan AFB),U.S. Customs and Border Protection/U.S. Border Patrol,32.193636,-110.893435,"2430 S Swan Rd, Tucson, AZ 85711",U.S. Border Patrol,Davis Monthan Air Force Base,
State Prison,Arizona State Prison Complex Tucson,State of Arizona,"Arizona Department of Corrections, Rehabilitation and Reentry (ADCRR)",32.067787,-110.860555,"10000 S Wilmot Rd, Tucson, AZ 85734","Arizona Department of Corrections, Rehabilitation and Reentry (ADCRR)",Arizona State Land Trust,"The Arizona Department of Corrections, Rehabilitation and Reentry (ADCRR) currently has a 287(g) Jail Enforcement Model (JEM) agreement with U.S. Immigration and Customs Enforcement (ICE). Under this agreement, some state prison guards are trained and authorized by ICE to perform certain immigration enforcement functions within the prison. These include: Screening incarcerated individuals for immigration status; Interviewing individuals suspected of being removable; Preparing immigration charging documents; Issuing ICE detainers and transfer paperwork; and referring detainees for transfer to ICE custody after criminal proceedings. Read more about 287(g) agreements here: https://www.ilrc.org/practitioners/national-map-287g-agreements"
County Jail,Pima County Adult Detention Complex,Pima County,Pima County Sheriff's Department (PCSD),32.200361,-110.991418,"1270 W Silverlake Rd, Tucson, AZ 85713",Pima County Sheriff's Department (PCSD),US Bank NA / % Pima County (Lease),
