Incident Type,Location/Context,Verification,Neighborhood,Date,Time,Description,State Kidnapping?,Agencies Involved,# of Agents,# of Unmarked Police Vehicles,Associated License Plates,Map Notes,Latitude,Longitude,Date Category,Style Key
Vehicle Stop,Public Park,Credible Report But Unconfirmed,Flowing Wells,29-Dec-2025,11:46 AM,Vehicle stop conducted by at least 4 ICE agents in two unmarked cars. A man in a work truck was detained and kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),4 (reported),2,,,32.268226,-110.987119,61–90 days ago,Vehicle Stop_61–90 days ago
Vehicle Stop,Public Roadway,Confirmed,South Park,31-Dec-2025,9:29 AM,Vehicle stop conducted by at least two ICE agents in an unmarked vehicle. At least one person detained and kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),2+,1,,,32.199671,-110.955845,61–90 days ago,Vehicle Stop_61–90 days ago
Vehicle Stop,Residential Area,Credible Report But Unconfirmed,Bravo Park Lane,7-Jan-2026,11:57 AM,"Suspected ICE agents in unmarked cars followed a couple in their vehicle to an apartment complex. The people being targeted made it inside safely, but the unmarked vehicles were still prowling around outside when Rapid Response Observers arrived",Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),2+,2,,,32.163162,-110.953069,61–90 days ago,Vehicle Stop_61–90 days ago
Stakeout/Surveillance,Residential Area,Confirmed,Drexel Park,9-Jan-2026,1:47 PM,Surveillance of a residence/person by agents in unmarked vehicles,No,"Immigration and Customs Enforcement (ICE), US Marshals, US Border Patrol, Oro Valley PD. All inolved in operation, unsure of which involved this day",,1+,,,32.155996,-110.960439,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Vehicle Stop,Commercial Area,Confirmed,Wakefield,11-Jan-2026,8:16 AM,Vehicle stop in a grocery store parking lot conducted by at least four ICE agents. At least one person was kidnapped.,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),4+,2,CTN4125,,32.186112,-110.969634,61–90 days ago,Vehicle Stop_61–90 days ago
Vehicle Stop,Commercial Area,Confirmed,Amphi,12-Jan-2026,11:32 AM,"Vehicle stop conducted by ICE agents targeting two vehicles. One person was kidnapped, another was detained but released",Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),2+,1,,,32.272503,-110.977807,61–90 days ago,Vehicle Stop_61–90 days ago
Stakeout/Surveillance,Residential Area,Confirmed,Drexel Park,12-Jan-2026,11:40 AM,Multiple unmarked vehicles conducting surveillance in a neighborhood. Targeted person had been followed to work on a previous day,No,"Immigration and Customs Enforcement (ICE), US Marshals. US Border Patrol and Oro Valley PD also involved in this operation",4+,4+,CWW1873; CWN3804; CPH4705; CWD1071,,32.156205,-110.960552,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Stakeout/Surveillance,Residential Area,Credible Report But Unconfirmed,Los Ranchitos,12-Jan-2026,12:25 PM,Unknown agents knocking on doors at an apartment complex,Attempted Abduction(s) — Unknown Outcome,Unknown,Unknown,N/A,N/A,,32.141280,-110.943455,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Stakeout/Surveillance,Commercial Area,Confirmed,Cherry Avenue,12-Jan-2026,3:37 PM,ICE agents in unmarked vehicles hunting in a shopping center/grocery parking lot,No,,2+,4,CM59515; CWL6184; CML8455; CM59586,,32.162017,-110.941821,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Vehicle Stop,PubIic Roadway: Highway,Confirmed,Flowing Wells,13-Jan-2026,,Vehicle stop on highway conducted by Border Patrol,Attempted Abduction(s) — Unknown Outcome,U.S. Border Patrol,2+,N/A,N/A,,32.283333,-111.019972,61–90 days ago,Vehicle Stop_61–90 days ago
Stakeout/Surveillance,Residential Area,Confirmed,"Linden Terrace, El Cortez",14-Jan-2026,9:28 AM,ICE/HSI agents and possibly officers from other agencies surveilling an apartment complex,No,"Immigration and Customs Enforcement (ICE) / Homeland Security Investigations (HSI) [part of ICE], possibly other agencies",5+,5 (reported),CWP3465; CTN4417; VUW-954-C (Sonora plate),,32.245672,-110.961042,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Stakeout/Surveillance,Residential Area,Confirmed,Drexel Park,15-Jan-2026,9:55 AM,Unmarked vehicles conducting surveillance of a residence/person,Abduction(s) Occurred,US Marshals; U.S. Border Patrol (including the BORTAC tactical unit); Oro Valley PD (at least one K-9 unit) all involved in the raid later this day that was connected to this surveillance. Immigration and Customs Enforcement (ICE) was reportedly involved after the person had been arrested.,2-3+ (more later),2-3,,,32.156603,-110.961404,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Raid,Residential Area,Confirmed,Tres Pueblos,15-Jan-2026,11:08 AM,"Large multi-agency raid involving the US Marshals, U.S. Border Patrol (particularly the BORTAC tactical unit), and Oro Valley PD (at least one K-9 officer) targeting an individual in a private residence. One person was detained and kidnapped",Abduction(s) Occurred,US Marshals; U.S. Border Patrol (including the BORTAC tactical unit); Oro Valley PD (at least one K-9 unit). Immigration and Customs Enforcement (ICE) was reportedly involved after the person had been arrested,Many,13+,TDA 11B; CWW1227; CWL6307; CG-72974; 3GA 7JB; CND5573; CPH4950; T71 9MH; CWW1460; BNV1684; BND7129; CM58082,,32.145285,-110.942377,61–90 days ago,Raid_61–90 days ago
Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Keeling, Coronado Heights, Amphi, Mountain View, Mountain 1st Avenue",16-Jan-2026,7:51 AM,DHS/CBP-operated surveillance helicopter N370SR flying a surveillance operation over neighborhoods,Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,32.258852,-110.966581,61–90 days ago,Aerial Surveillance (Aircraft)_61–90 days ago
Vehicle Stop,Commercial Area,Confirmed,Amphi,16-Jan-2026,11:45 AM,Vehicle stop conducted by ICE in which a man was kidnapped. TPD officers on the scene looked the other way as ICE agents forcibly restrained the person on the ground.,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE); Tucson Police Department (TPD),7+,2+,,,32.272615,-110.977867,61–90 days ago,Vehicle Stop_61–90 days ago
Gathering/Staging,Unknown/Other,Confirmed,Shaheen Estates,16-Jan-2026,3:10 PM,"Officers from ICE, US Marshals, and the Oro Valley PD staging for an unknown operation behind a grocery store",Attempted Abduction(s) — Unknown Outcome,"Immigration and Customs Enforcement (ICE), US Marshals, Oro Valley PD",9+,9+,CWN3804; 9SKK335; CWS9921; CWW1739; CWW1460,,32.258538,-110.941941,61–90 days ago,Gathering/Staging_61–90 days ago
Vehicle Stop,Commercial Area,Credible Report But Unconfirmed,South Park (Tucson Marketplace),18-Jan-2026,8:37 AM,ICE agents in three unmarked vehicles hunting at a shopping center,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),6+,3,,,32.181632,-110.947227,61–90 days ago,Vehicle Stop_61–90 days ago
Vehicle Stop,Commercial Area,Confirmed,Wakefield,18-Jan-2026,12:59 PM,ICE agents in unmarked vehicles were hunting people in the parking lot of the El Super. At least one person was detained but released,No,Immigration and Customs Enforcement (ICE),5+,4,CWD1071; CTN4078; CTN4125; BWX6104,,32.186019,-110.970292,61–90 days ago,Vehicle Stop_61–90 days ago
Stakeout/Surveillance,Residential Area,Confirmed,Dietz,19-Jan-2026,,ICE agents in unmarked vehicles were hunting people at three apartment complexes in the area. Ultimately no reports of anyone kidnapped,No,Immigration and Customs Enforcement (ICE) / Homeland Security Investigations (HSI) [part of ICE],1+,4+,,,32.206309,-110.836685,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Vehicle Stop,Public Roadway,Confirmed,Carriage Park,19-Jan-2026,9:21 AM,Vehicle stop conducted by multiple masked ICE agents in two or more unmarked vehicles. Two people were reportedly detained and kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),2+,2,,,32.222427,-110.823514,61–90 days ago,Vehicle Stop_61–90 days ago
Stakeout/Surveillance,Residential Area,Credible Report But Unconfirmed,Circle Mobile Home Park,19-Jan-2026,,"Suspected ICE vehicles reported creeping around a mobile home park, possibly hunting someone whose family member they had recently kidnapped",Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),Unknown,1+,,,32.260320,-110.991035,61–90 days ago,Stakeout/Surveillance_61–90 days ago
