Incident Type,Location/Context,Verification,Neighborhood,Date,Time,Description,State Kidnapping?,Agencies Involved,# of Agents,# of Unmarked Police Vehicles,Associated License Plates,Map Notes,Latitude,Longitude,Date Category,Style Key
Stakeout/Surveillance,Residential Area,Credible Report But Unconfirmed,Circle Mobile Home Park,20-Jan-2026,,"Suspected ICE vehicles reported creeping around a mobile home park, possibly hunting someone whose family member they had recently kidnapped",Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),Unknown,1+,,,32.260984,-110.990470,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Stakeout/Surveillance,Protest/Demonstration,Confirmed,Downtown,20-Jan-2026,5:56 PM,ICE agent in unmarked vehicle surveilling protest,Unknown or Not Applicable,Immigration and Customs Enforcement (ICE),1,1+,CWS9750,,32.221984,-110.970206,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Stakeout/Surveillance,Commercial Area,Credible Report But Unconfirmed,Saguaro Vista Shopping Center,21-Jan-2026,,"At least two ICE agents seen exiting an unmarked vehicle and looking into someone's unoccupied, parked truck before leaving",No,Immigration and Customs Enforcement (ICE),2,1,,,32.235276,-110.825186,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Stakeout/Surveillance,Residential Area,Credible Report But Unconfirmed,Circle Mobile Home Park,21-Jan-2026,3:05 PM,"Suspected ICE vehicles reported creeping around a mobile home park, possibly hunting someone whose family member they had recently kidnapped",Attempted Abduction(s) — Unknown Outcome,Unknown,Unknown,1+,,,32.260220,-110.990764,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Stakeout/Surveillance,Commercial Area,Credible Report But Unconfirmed,El Con Mall,22-Jan-2026,10:00 AM,Two unmarked vehicles carrying masked agents observed in a Home Deport parking lot. Outcome unknown,Attempted Abduction(s) — Unknown Outcome,Unknown,5+,2,,,32.224758,-110.914416,61–90 days ago,Stakeout/Surveillance_61–90 days ago
Unknown/Other,Public Roadway,Confirmed,Los Ranchitos,22-Jan-2026,11:23 AM,"Unknown operation involving ICE, AZDPS, TPD, and possibly other agencies",Unknown or Not Applicable,"Immigration and Customs Enforcement (ICE), Arizona Department of Public Safety (AZDPS), Tucson Police Department (TPD)",10+,6+,8PA 5DE; CWC9762,,32.136934,-110.942195,61–90 days ago,Unknown/Other_61–90 days ago
Vehicle Stop,Commercial Area,Confirmed,Kino Gateway,23-Jan-2026,6:40 AM,ICE agents detained and questioned a city worker at a convenience store. The agents asked the man for identification and as he returned to his work vehicle the agents noticed a City of Tucson logo (the targeted person was a city employee) and walked away,No,Immigration and Customs Enforcement (ICE),5,2+,,,32.163698,-110.937308,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Public Roadway,Confirmed,Naylor,23-Jan-2026,9:22 AM,Vehicle stop conducted by at least four masked agents wearing ICE tactical vests. Unknown whether someone was kidnapped,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),4+,2+,CBC9452,,32.206542,-110.892482,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Public Roadway,Credible Report But Unconfirmed,"Stella Mann, Carson Corner",23-Jan-2026,10:40 AM,Vehicle stop conducted by ICE. At least one person reportedly detained but unknown if they or others were kidnapped,Attempted Abduction(s) — Unknown Outcome,Unknown,Unknown,N/A,N/A,,32.184705,-110.840892,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Workplace or Business,Confirmed,La Plaza Shoppes,23-Jan-2026,,ICE agents detained and kidnapped a restaurant worker as he arrived for work,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),2+,2+,CTN4078; CTN4125,,32.245722,-110.852850,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Public Roadway,Confirmed,"Barrio Santa Rosa, Santa Rita Park",23-Jan-2026,10:58 AM,,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),3,3+,CTN4078; CTN4125; CBC9452; CWW1453,,32.206853,-110.973718,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Government Office,Confirmed,Amphi,23-Jan-2026,11:01 AM,,Abduction(s) Occurred,ICE and/or Border Patrol (see affidavit),3+,3+,CWH4432; CWP3086,,32.265469,-110.975668,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Public Roadway,Confirmed,Stella Mann,23-Jan-2026,12:04 PM,Vehicle stop conducted by ICE agents in at least one unmarked vehicle. One woman arrested and her vehicle was left there,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),3+,1+,CTN4125,,32.188036,-110.841160,31–60 days ago,Vehicle Stop_31–60 days ago
Stakeout/Surveillance,School,Credible Report But Unconfirmed,Barrio Viejo,27-Jan-2026,1:45 PM,Suspected ICE vehicles reported lurking near a school,Unknown or Not Applicable,Immigration and Customs Enforcement (ICE) [unconfirmed],Unknown,1+,,,32.215813,-110.974328,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Stakeout/Surveillance,Residential Area,Credible Report But Unconfirmed,Dietz,27-Jan-2026,1:45 PM,Suspected ICE vehicles reported creeping around an apartment complex. No kidnappings reported,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE) [unconfirmed],Unknown,N/A,N/A,,32.202704,-110.837149,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Vehicle Stop,Public Roadway,Confirmed,Barrio Hollywood,28-Jan-2026,12:00 PM,Vehicle stop conducted by a U.S. Border Patrol agent and another officer from an unknown agency in plain clothes. Two people were kidnapped.,Abduction(s) Occurred,U.S. Border Patrol,2,2,CWL6344; CWP3456,,32.234793,-110.986304,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Residential Area,Credible Report But Unconfirmed,Los Ranchitos,29-Jan-2026,8:38 AM,Vehicle stop conducted by ICE agents in which one person was kidnapped,Abduction(s) Occurred,Unknown,Unknown,1+,,,32.139416,-110.943465,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Commercial Area,Credible Report But Unconfirmed,Midvale Park,29-Jan-2026,12:36 PM,ICE vehicle stop in which one worker was detained and kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),Unknown,1+,,,32.161286,-110.987897,31–60 days ago,Vehicle Stop_31–60 days ago
Stakeout/Surveillance,Commercial Area,Credible Report But Unconfirmed,Wakefield,29-Jan-2026,12:52 PM,ICE agents in unmarked vehicles seen hunting at a grocery store,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),Unknown,2 (at least),,,32.186016,-110.969654,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Unknown/Other,Commercial Area,Confirmed,El Con Mall,29-Jan-2026,3:04 PM,Border Patrol vehicle and officers spotted at a Home Depot,Attempted Abduction(s) — Unknown Outcome,US Border Patrol,3+,N/A,N/A,,32.224091,-110.913091,31–60 days ago,Unknown/Other_31–60 days ago
Vehicle Stop,Commercial Area,Confirmed,Barrio Hollywood,30-Jan-2026,8:30 AM,Vehicle stop conducted by multiple masked ICE agents in which one man was detained but released,No,Immigration and Customs Enforcement (ICE),Multiple,4-5,,,32.235193,-111.003243,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Commercial Area,Confirmed,South Park (Tucson Marketplace),30-Jan-2026,9:19 AM,Vehicle stop conducted by at least three masked ICE agents at a Walmart in which one man was detained and kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),3+,N/A,N/A,,32.186141,-110.952033,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Commercial Area,Confirmed,Wakefield,31-Jan-2026,7:59 AM,Vehicle stop conducted by 3-4 masked ICE agents at a grocery store. One person was detained and kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),3-4,2,,,32.186421,-110.970611,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Commercial Area,Confirmed,South Tucson,31-Jan-2026,9:35 AM,Vehicle stop conducted by 3 masked ICE agents at in a McDonald's parking lot. One person was detained and kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),3,2,,,32.199183,-110.967864,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Public Roadway,Credible Report But Unconfirmed,"Eastland Heights, Barrio San Antonio",31-Jan-2026,11:14 AM,Vehicle stop conducted by suspected ICE agents. Reportedly one man was detained and kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),4,2,,,32.216395,-110.945090,31–60 days ago,Vehicle Stop_31–60 days ago
Stakeout/Surveillance,Commercial Area,Confirmed,Wakefield,31-Jan-2026,12:29 PM,ICE agents in at least two unmarked vehicles spotted hunting at a grocery store parking lot. Community responde prevented any kidnappings,No,Immigration and Customs Enforcement (ICE); Tucson Police Department (TPD) and South Tucson TPD arrived later,5+,2,,,32.186269,-110.970347,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Stakeout/Surveillance,Commercial Area,Credible Report But Unconfirmed,Wakefield,1-Feb-2026,6:52 AM,ICE agents hunting in. grocery store parking lot and harrassing a security guard,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),Unknown,1+,,,32.186122,-110.969915,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Vehicle Stop,Public Roadway,Credible Report But Unconfirmed,Sunnyside,1-Feb-2026,9:53 AM,Vehicle stop conducted by ICE agents. A family with kids reportedly detained; unknown whether anyone was kidnapped,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),Unknown,2,CTN4125; CTN4078,,32.148662,-110.977548,31–60 days ago,Vehicle Stop_31–60 days ago
Stakeout/Surveillance,Commercial Area,Credible Report But Unconfirmed,Wakefield,4-Feb-2026,2:02 PM,Two unmarked ICE vehicles spotted hunting around a grocery store parking lot,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),Multiple,2,,,32.186682,-110.972199,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Stakeout/Surveillance,Commercial Area,Credible Report But Unconfirmed,Wakefield,4-Feb-2026,9:04 PM,ICE agents surveilling a grocery store parking lot,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),Unknown,1+,,,32.185878,-110.969685,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Vehicle Stop,Public Roadway,Confirmed,"Irvington, Riverfront Plaza, Casitas Del Sol",5-Feb-2026,7:20 AM,Vehicle stop conducted by ICE/HSI agents in which at least one person was reportedly detained,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE) / Homeland Security Investigations (HSI) [part of ICE],3+,,,,32.163194,-110.991504,31–60 days ago,Vehicle Stop_31–60 days ago
Stakeout/Surveillance,Workplace or Business,Credible Report But Unconfirmed,Millville,5-Feb-2026,9:40 AM,ICE agent looking for someone at a construction job site. Outcome unknown.,Attempted Abduction(s) — Unknown Outcome,Unknown,1,1,,,32.209484,-110.956216,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Stakeout/Surveillance,Residential Area,Confirmed,Dietz,6-Feb-2026,7:18 AM,ICE agents in at least two unmarked vehicles were spotted hunting at an apartment complex. Community response prevented any known kidnappings,No,Immigration and Customs Enforcement (ICE),2+,2 at least,CTN4078,,32.204731,-110.838488,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Vehicle Stop,Commercial Area,Confirmed,Flowing Wells,6-Feb-2026,9:45 AM,"ICE agents in at least two unmarked vehicles followed someone to a business, waited outside while the person was inside, and then ambushed them when they emerged. One person was detained and kidnapped",Abduction(s) Occurred,Immigration and Customs Enforcement (ICE); Tucson Police Department (TPD) came later after being called by business,4+,2 at least,CTN4125; CTN4078,,32.271767,-110.994194,31–60 days ago,Vehicle Stop_31–60 days ago
Stakeout/Surveillance,Commercial Area,Confirmed,Flowing Wells,6-Feb-2026,10:10 AM,ICE agents in at least one unmarked vehicle were hunting at the Food City grocery store. They followed at least one person from this location and conducted a vehicle stop elsewhere,No,Immigration and Customs Enforcement (ICE),2+,1 at least,CTN4078,,32.278066,-110.995592,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Vehicle Stop,Public Roadway,Confirmed,Flowing Wells,6-Feb-2026,10:28 AM,ICE agents in at least one unmarked vehicle conducted a vehicle stop after following someone from a grocery store. The person was detained but released,No,Immigration and Customs Enforcement (ICE),2+,1 at least,CTN4078,,32.267799,-110.995129,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Public Roadway,Confirmed,Summit,7-Feb-2026,7:44 AM,Vehicle stop conducted by masked ICE agents in at least two unmarked vehicles. A legal resident who did not have his papers with him was kidnapped and taken to the ICE sub-office facility. After ICE ran a background check at the facility the man was released,No,Immigration and Customs Enforcement (ICE),2+,2 at least,,,32.064386,-110.956939,31–60 days ago,Vehicle Stop_31–60 days ago
Stakeout/Surveillance,Religious Site,Confirmed,Duffy,10-Feb-2026,2:09 PM,"U.S. Marshals in unmarked vehicles parked in a church's back lot, possibly conducting surveiillance or staging.",Unknown or Not Applicable,US Marshals (confirmed by church staff on scene),6,3,,,32.230273,-110.877194,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Las Vistas, Western Hills, South Park, etc",11-Feb-2026,2:58 PM,DHS/CBP surveillance plane (either N674TC or N51824) flying a surveillance operation over neighborhoods,Unknown or Not Applicable,CBP (or other DHS),Unknown,N/A,N/A,,32.190217,-110.930624,31–60 days ago,Aerial Surveillance (Aircraft)_31–60 days ago
Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Barrio Nopal, Elvira, Sunnyside, etc",11-Feb-2026,3:32 PM,DHS/CBP surveillance plane (either N674TC or N51824) flying a surveillance operation over neighborhoods,Unknown or Not Applicable,CBP (or other DHS),Unknown,N/A,N/A,,32.131933,-110.971252,31–60 days ago,Aerial Surveillance (Aircraft)_31–60 days ago
Vehicle Stop,Commercial Area,Confirmed,Wakefield,13-Feb-2026,4:56 PM,"Vehicle stop conducted by members of the State Gang Task Force (GIITEM). Unknown whether this incident was immigration-related, but GIITEM is involved in federal immigration enforcement",Abduction(s) Occurred,State Gang Task Force (GIITEM),Unknown,Unknown,N/A,,32.186045,-110.969736,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Public Roadway,Credible Report But Unconfirmed,Los Ranchitos,16-Feb-2026,7:48 AM,Vehicle stop conducted by ICE agents in which at least one person was reportedly detained and kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),2+,2-3,,,32.141314,-110.956208,31–60 days ago,Vehicle Stop_31–60 days ago
Unknown/Other,Unknown/Other,Confirmed,Downtown,17-Feb-2026,9:00 AM,"Unmarked ICE vehicle spotted parked and idling, with a sun visor in the windshield. No more details available",Unknown or Not Applicable,Immigration and Customs Enforcement (ICE),1+,1,BNV1839,,32.220567,-110.972444,31–60 days ago,Unknown/Other_31–60 days ago
Vehicle Stop,PubIic Roadway: Highway,Confirmed,South Tucson,17-Feb-2026,6:41 PM,Vehicle stop conducted by U.S. Border Patrol and Arizona DPS (state police) agents on Interstate 10. Outcome unknown,Attempted Abduction(s) — Unknown Outcome,"US Border Patrol, Arizona Department of Public Safety (AZDPS)",5+,2,,,32.192619,-110.977571,31–60 days ago,Vehicle Stop_31–60 days ago
Stakeout/Surveillance,Residential Area,Confirmed,Roger Park,18-Feb-2026,11:21 AM,ICE agents in at least two unmarked vehicles spotted hunting at an apartment complex. Community response likely prevented any kidnappings,No,Immigration and Customs Enforcement (ICE),2+,2+,CWL6437; CWW1873,,32.279231,-110.978249,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Stakeout/Surveillance,Commercial Area,Confirmed,Limberlost,18-Feb-2026,12:03 PM,ICE agents in at least two unmarked vehicles spotted hunting in the Target parking lot after they left a nearby apartment complex. Community response likely prevented any kidnappings,No,Immigration and Customs Enforcement (ICE),2+,2+,CWL6437; CWW1873,,32.280184,-110.977279,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,South Tucson,18-Feb-2026,11:33 AM,DHS/CBP-operated surveillance helicopter N370SR flying a surveillance operation over neighborhoods,Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,1,,,32.196579,-110.963809,31–60 days ago,Aerial Surveillance (Aircraft)_31–60 days ago
Stakeout/Surveillance,Residential Area,Confirmed,Roger Park,19-Feb-2026,8:36 AM,"ICE agents in at least 5 unmarked vehicles were hunting at an apartment complex. Eventually property management confronted agents in one of the vehicles (which had snuck through a keypad access gate into a parking lot for residents) and the agents left. No known kidnappings occurred, likely in part due to community responde",No,Immigration and Customs Enforcement (ICE),6+,5+,CWW1873; CPH4983; CTN4388; CWD1071; CTN4078,,32.279486,-110.978109,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Vehicle Stop,Commercial Area,Confirmed,Midvale Park,19-Feb-2026,2:23 PM,Vehicle stop conducted by ICE agents. At least one person reportedly detained and kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),2+,2-3,,,32.152544,-110.990396,31–60 days ago,Vehicle Stop_31–60 days ago
Vehicle Stop,Public Roadway,Confirmed,Keeling,20-Feb-2026,8:33 AM,Vehicle stop conducted by ICE agents in which one person was detained and kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),3+,1,CBC9381,,32.258511,-110.963406,31–60 days ago,Vehicle Stop_31–60 days ago
Stakeout/Surveillance,Workplace or Business,Confirmed,Barrio Nopal,20-Feb-2026,5:20 PM,ICE agents in at least one unmarked vehicle conducting a stakeout/surveillance of a restaurant. Outcome unknown,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),2+,1,CWS9671,,32.133638,-110.967785,31–60 days ago,Stakeout/Surveillance_31–60 days ago
Vehicle Stop,Public Roadway,Confirmed,Sunnyside,26-Feb-2026,1:57 PM,Vehicle stop conducted by four officers from an unknown agency in dark-colored clothing and tactical vests. No other details available,Attempted Abduction(s) — Unknown Outcome,Unknown,4+,1+,,,32.137207,-110.967890,15–30 days ago,Vehicle Stop_15–30 days ago
Unknown/Other,Public Roadway,Confirmed,Roberts,1-Mar-2026,6:03 PM,"Mysterious incident involving two uniformed Border Patrol agents in marked vehicles and another in plain clothes in an unmarked pickup truck with police lights. A chain was attached to the unmarked truck and it was used to tow an SUV with Sonoran plates, which the Border Patrol agents described as a “stranded motorist”. But Border Patrol agents are not permitted to tow civilian vehicles with chains, so we think either this was also an unmarked Border Patrol vehicle or it was the “ghost car” of someone who had already been kidnapped. ",Unknown or Not Applicable,US Border Patrol,3-5,1-3,R5A7D1A,,32.190341,-110.908913,15–30 days ago,Unknown/Other_15–30 days ago
Stakeout/Surveillance,Residential Area,Confirmed,Flowing Wells,3-Mar-2026,7:30 AM,Agent(s) in at least one unmarked vehicle were seen conducting surveillance at a mobile home park. Same vehicle would be seen in the area again the next day with a known ICE vehicle. Residents reported seeing similar surveillance vehicles multiple times over the previous two weeks.,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),1+,1,BGX4457,,32.298253,-111.012002,15–30 days ago,Stakeout/Surveillance_15–30 days ago
Stakeout/Surveillance,Residential Area,Credible Report But Unconfirmed,Oracle Villa Estates,3-Mar-2026,4:35 PM,"ICE agents in three unmarked vehicles surveilled an apartment complex all day, eventually following someone as they left their apartment building and kidnapping them",Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),3+,3,CWW1146,,32.322751,-110.971691,15–30 days ago,Stakeout/Surveillance_15–30 days ago
Stakeout/Surveillance,Residential Area,Confirmed,Flowing Wells,4-Mar-2026,7:28 AM,Agents in at least three unmarked vehicles were spotted doing surveillance in and around a mobile home park. At least one of these vehicles has been confirmed as an ICE vehicle. Residents reported seeing similar surveillance vehicles multiple times over the previous two weeks.,No,Immigration and Customs Enforcement (ICE),2-5+,2-5,BGX4457; CTN4078,,32.297565,-111.011989,15–30 days ago,Stakeout/Surveillance_15–30 days ago
Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"San Xavier Indian Reservation, Barrio Nopal, etc",4-Mar-2026,1:38 PM,DHS/CBP-operated surveillance helicopter N370SR flying a surveillance operation over neighborhoods,Attempted Abduction(s) — Unknown Outcome,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,32.119548,-110.960816,15–30 days ago,Aerial Surveillance (Aircraft)_15–30 days ago
Vehicle Stop,Public Roadway,Confirmed,Millville,4-Mar-2026,6:27 PM,"Vehicle stop conducted by agents in five or more unmarked vehicles. At least two of these vehicles ran a red light at high speed before turning on their hidden police lights to initiate the stop. One agent was driving a pickup truck with Sonoran (Mexico) license plate. All agents in plain clothes and tactical vests. One man was detained and later released,",No,Immigration and Customs Enforcement (ICE),5+,5+,CWD1083; RGA 4LO; CWL5684; CWH4495,,32.207496,-110.949141,15–30 days ago,Vehicle Stop_15–30 days ago
Vehicle Stop,Commercial Area,Credible Report But Unconfirmed,Palo Verde,5-Mar-2026,9:58 AM,Vehicle stop conducted by four agents in plain clothes and tactical vests in three unmarked vehicles in the Walmart parking lot. Witnesses said the agents handcuffed and kidnapped a man and a boy who looked around 11 years old. One agent drove off in the kidnapped people's truck afterward,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),4,3,,,32.250666,110.911393,15–30 days ago,Vehicle Stop_15–30 days ago
Stakeout/Surveillance,Residential Area,Credible Report But Unconfirmed,Oracle Villa Estates,6-Mar-2026,9:52 AM,Credible reports of at least one unmarked police vehicle prowling an apartment complex where an ICE kidnapping had taken place three days prior. No reports of similar kidnappings here on this day,"Unknown or Not Applicable, Attempted Abduction(s) — Unknown Outcome",Unknown (likely Immigration and Customs Enforcement (ICE)),1+,1,CWW1714,,32.322736,-110.972435,15–30 days ago,Stakeout/Surveillance_15–30 days ago
Stakeout/Surveillance,Religious Site,Credible Report But Unconfirmed,Santa Rita Park,6-Mar-2026,4:09 PM,"Two unmarked vehicles, one with multiple agents in masks, observed prowling near a church/workers center.",Unknown or Not Applicable,Immigration and Customs Enforcement (ICE) [unconfirmed],3+,2,CPP8313,,32.205568,-110.973144,15–30 days ago,Stakeout/Surveillance_15–30 days ago
Vehicle Stop,Commercial Area,Credible Report But Unconfirmed,Rillito Park,11-Mar-2026,2:43 PM,Vehicle stop in a shopping center parking lot conducted by an officer in an unmarked vehicle wearing an unidentified tactical vest. No other details available,Unknown or Not Applicable,Unknown,1+,1+,,,32.283103,-110.980012,8–14 days ago,Vehicle Stop_8–14 days ago
Vehicle Stop,Public Roadway,Credible Report But Unconfirmed,Southland Park,12-Mar-2026,4:17 PM,Vehicle stop involving unknown agents in three unmarked vehicles,Attempted Abduction(s) — Unknown Outcome,Unknown,3+,3,,,32.146535,-110.956245,8–14 days ago,Vehicle Stop_8–14 days ago
Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,South Park (Tucson Marketplace),12-Mar-2026,4:15 PM,DHS/CBP helicopter flying a surveillance operation over the Tucson Marketplace and surrounding neighborhoods,Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,32.186561,-110.954971,8–14 days ago,Aerial Surveillance (Aircraft)_8–14 days ago
Stakeout/Surveillance,Residential Area,Confirmed,Summit,12-Mar-2026,4:29 PM,"Unmarked vehicle with three ICE agents in masks surveilling a residential area. One agent threatened a community member who photographed the vehicle, trying unsuccessfully to open the person's vehicle door twice. When the ICE vehicle left it's stakeout spot, it was observed driving onto the nearby Morris Air National Guard Base",Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE); Air National Guard (ICE agents retreated into the base through a secured gate),3+,1,CWL6437,,32.077335,-110.958846,8–14 days ago,Stakeout/Surveillance_8–14 days ago
Vehicle Stop,Public Roadway,Confirmed,Sunnyside / Southland Park,14-Mar-2026,3:53 PM,"Vehicle stop conducted by ICE agents, who kidnapped someone and left their vehicle",Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),Unknown,Unknown,,,32.141286,-110.961559,8–14 days ago,Vehicle Stop_8–14 days ago
Stakeout/Surveillance,Residential Area,Credible Report But Unconfirmed,Nat'l City Northwest,16-Mar-2026,9:26 AM,Two unmarked vehicles spotted surveilling a neighborhood. A community member recognized ICE agents in one of the vehicles from a previous incident in which the agents had impersonated Tucson Electric Power (TEP) workers,Unknown or Not Applicable,Immigration and Customs Enforcement (ICE),2+,2,,,32.163741,-110.973738,8–14 days ago,Stakeout/Surveillance_8–14 days ago
Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Barrio Santa Rosa, Santa Rita Park, etc",16-Mar-2026,11:06 AM,"DHS/CBP-operated surveillance plane (likely N51824, or possibly N674TC) flying a surveillance operation over neighborhoods",Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,32.206731,-110.978262,8–14 days ago,Aerial Surveillance (Aircraft)_8–14 days ago
Stakeout/Surveillance,Residential Area,Credible Report But Unconfirmed,Summit,17-Mar-2026,8:30 AM,Unmarked vehicles conducting surveillance in a neighborhood,Attempted Abduction(s) — Unknown Outcome,Immigration and Customs Enforcement (ICE),Unknown,1,,,32.066781,-110.931246,Within the past week,Stakeout/Surveillance_Within the past week
