Incident ID,Incident Type,Location/Context,Verification,Neighborhood,Date,Time,Description,State Kidnapping?,Agencies Involved,# of Agents,# of Unmarked Police Vehicles,Associated License Plates,Notes,Latitude,Longitude,Month,Date Category,Style Key
INC-012,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"University of Arizona, West University, etc",6-May-2025,4:20 PM,"DEA-linked surveillance plane N656RT or N156RF, registered to a shell company called Heritage Aviation Management Ltd, flying a surveillance operation over the University of Arizona and surrounding neighborhoods. This operation likely involved other agencies, possibly including ICE.",Unknown or Not Applicable,"Drug Enforcement Administration (DEA), likely working with other agencies",Unknown,N/A,N/A,,32.227698,-110.959439,May 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-013,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Downtown, Armory Park, etc",20-May-2025,4:20 PM,DHS/CBP surveillance helicopter N370SR flying a surveillance operation over downtown Tucson and surrounding neighborhoods,Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,32.221767,-110.972394,May 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-014,Raid,Residential Area,Confirmed,Wakefield,28-May-2025,9:45 AM,"Two ICE agents impersonated Tucson Electric Power (TEP) workers in an attempt to get inside the home of a person they were targeting. A clever neighbor realized they were lying in time to call out the agents' lie, and they left the neighborhood empty-handed",No,Immigration and Customs Enforcement (ICE),2,2,CWS9854,The incident was covered by journalists including Emily Bregel of the Arizona Daily Star (https://tucson.com/news/local/border/article_e949f7c5-d339-4546-804c-cbb3c970af38.html) and Reyna Preciado of KGUN (https://www.kgun9.com/news/community-inspired-journalism/southside-news/southside-neighbors-confront-tep-impersonators-suspected-immigration-enforcement-officers),32.172229,-110.968211,May 2025,Older than 6 months,Raid_Older than 6 months
INC-015,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Drexel Heights, etc",28-May-2025,2:44 PM,DHS/CBP surveillance helicopter N370SR flying a surveillance operation over Drexel Heights and surrounding neighborhoods in coordination with unmarked vehicles on the ground,Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,32.133725,-111.028626,May 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-016,Gathering/Staging,Public Park,Confirmed,Drexel Heights,28-May-2025,3:14 PM,"Four unmarked police vehicles (unknown agency) observed staging in a public park, with at least one more nearby. DHS/CBP helicopter N370SR was conducting surveillance of the area from above",Unknown or Not Applicable,"Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP), possibly others",6+,4+,6KA 0GF; CTN4409; YBA 4GL,,32.126258,-111.028175,May 2025,Older than 6 months,Gathering/Staging_Older than 6 months
INC-017,Gathering/Staging,Commercial Area,Confirmed,Drexel Heights,28-May-2025,3:24 PM,"One unmarked police vehicle observed waiting at a Circle K in the same neighborhood where other unmarked vehicles had been observed staging and a DHS/CBP helicopter (N370SR) was flying overhead. It is not clear what, if any, operation these vehicles were involved in",Unknown or Not Applicable,"Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP) was involved, but could not confirm which agency was connected to this specific vehicle",1+,1,,,32.119795,-111.028683,May 2025,Older than 6 months,Gathering/Staging_Older than 6 months
INC-018,Vehicle Stop,Public Roadway,Credible Report But Unconfirmed,Bronx Park,1-Jun-2025,5:53 PM,Vehicle stop conducted by agents in three unmarked vehicles in which one person was kidnapped,Abduction(s) Occurred,"Likely Arizona Department of Public Safety (AZDPS) and/or another agency like ICE that participates in the Gang Intelligence Team Enforcement Mission (GIITEM), sometimes also called the State Gang Task Force, a multi-agency task force led by AZDPS that includes federal (including ICE), state, county, and local police agencies",3+,3,0NA 8GE; 2LA0YT; 76A73E,,32.237116,-110.97786,June 2025,Older than 6 months,Vehicle Stop_Older than 6 months
INC-019,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Rose, West Lamar, etc",3-Jun-2025,4:02 PM,DHS/CBP surveillance plane N51824 flying a surveillance operation over Rose and surrounding neighborhoods,Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,32.172134,-110.981839,June 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-020,Raid,Residential Area,Confirmed,Midvale Park,11-Jun-2025,12:30 PM,Large multi-agency home raid involving a warrant for drug offenses with participation by the US Border Patrol and ICE,Abduction(s) Occurred,"US Border Patrol, Immigration and Customs Enforcement (ICE) / Homeland Security Investigations (HSI) [part of ICE], Pinal County Sheriff's Office (PCSO), Tucson Police Department (TPD)",Many,5+,VE-88-312 (Sonora); SYA 6DP; VE-09-700 (Sonora); CWS9640,,32.162283,-110.998369,June 2025,Older than 6 months,Raid_Older than 6 months
INC-021,Raid,Residential Area,Confirmed,Midvale Park,11-Jun-2025,1:40 PM,Large multi-agency home raid involving a warrant for drug offenses with participation by the US Border Patrol and ICE,Abduction(s) Occurred,"US Border Patrol, Immigration and Customs Enforcement (ICE) / Homeland Security Investigations (HSI) [part of ICE], Pinal County Sheriff's Office (PCSO), Tucson Police Department (TPD)",Many,5+,CWN3831; SXA 9DP; SYA 3DP; CWW1045; CWW1591,,32.158727,-111.000236,June 2025,Older than 6 months,Raid_Older than 6 months
